48.33,31.0,22.33,15.0,70.0,70.0,45.33,14.67,16.0,56.33,85.67,43.15090909090909
10.67,32.67,73.0,15.67,92.67,65.33,19.67,29.33,37.0,52.0,39.67,42.516363636363636
33.67,31.0,30.67,12.0,51.67,66.33,32.33,49.33,4.0,42.0,71.67,38.60636363636363
11.0,24.33,11.33,25.67,73.0,63.33,34.0,27.33,5.0,71.0,51.67,36.15090909090909
28.0,29.33,9.67,21.67,65.33,63.67,30.33,21.67,26.67,49.33,60.0,36.87909090909091
19.67,22.0,18.0,36.33,58.0,84.33,5.0,24.33,21.67,61.0,44.33,35.878181818181815
23.0,33.0,12.0,35.67,45.67,59.33,28.33,31.0,19.33,15.67,58.0,32.81818181818182
15.0,23.33,17.0,16.33,60.0,45.33,27.0,17.67,6.33,31.33,39.67,27.180909090909097
35.67,30.0,8.33,26.67,49.67,50.0,28.0,22.33,4.67,36.67,42.67,30.425454545454546
26.67,19.0,10.0,25.67,45.0,48.33,23.33,7.0,20.67,61.0,43.0,29.970000000000002
