91.43,60.0,71.43,34.29,82.86,37.14,60.0,62.45
34.29,51.43,91.43,60.0,80.0,48.57,85.71,64.49
82.86,57.14,57.14,62.86,65.71,34.29,74.29,62.041428571428575
48.57,57.14,80.0,62.86,62.86,65.71,42.86,60.0
65.71,54.29,62.86,57.14,62.86,62.86,31.43,56.73571428571429
62.86,62.86,80.0,68.57,82.86,34.29,57.14,64.08285714285714
71.43,48.57,62.86,65.71,68.57,42.86,42.86,57.55142857142857
74.29,51.43,74.29,62.86,62.86,48.57,60.0,62.042857142857144
62.86,48.57,62.86,68.57,77.14,37.14,77.14,62.04
68.57,40.0,82.86,62.86,54.29,51.43,51.43,58.77714285714286
