48.33,31.0,22.33,15.0,70.0,70.0,45.33,14.67,16.0,56.33,85.67,43.15090909090909
24.67,34.33,26.67,33.33,85.33,69.67,54.67,46.33,9.0,18.33,57.33,41.78727272727272
30.0,46.33,31.0,14.0,69.67,54.67,29.0,23.33,11.33,77.33,46.0,39.33272727272727
3.67,37.33,27.67,37.33,67.67,64.33,26.33,33.0,62.33,63.0,78.67,45.57545454545454
10.67,32.0,25.0,17.0,82.33,64.33,39.0,25.67,0.67,82.0,52.33,39.18181818181818
30.33,29.67,9.33,25.0,52.33,57.33,56.33,46.0,15.33,41.33,55.67,38.059090909090905
18.67,38.0,9.33,44.0,48.0,71.0,35.33,47.67,33.67,25.0,51.33,38.36363636363637
10.33,46.0,6.33,33.33,38.67,79.33,40.0,32.0,14.33,69.0,49.0,38.02909090909091
18.0,31.33,16.33,12.0,42.0,60.67,29.67,29.0,4.0,70.0,72.0,35.0
16.0,20.67,15.67,18.67,65.67,65.0,37.0,35.0,3.33,55.0,40.67,33.88
