48.33,31.0,22.33,15.0,70.0,70.0,45.33,14.67,16.0,56.33,85.67,43.15090909090909
39.33,52.0,50.67,13.0,60.0,80.0,55.0,34.0,14.33,29.33,73.67,45.57545454545454
3.33,40.67,58.0,10.67,95.33,56.0,80.33,29.67,3.33,29.0,83.33,44.51454545454545
29.0,29.67,22.67,20.0,77.67,46.67,39.33,13.67,26.67,66.33,49.67,38.304545454545455
20.0,34.0,14.0,26.0,71.0,46.67,32.0,16.67,2.67,73.67,62.67,36.30454545454546
47.67,46.67,23.67,14.67,48.67,49.0,72.67,6.0,14.33,60.67,34.67,38.06272727272728
13.33,41.33,19.33,18.67,44.67,48.67,32.67,13.0,3.67,38.67,60.33,30.39454545454545
24.33,31.33,37.33,7.67,59.67,76.67,23.67,15.33,12.0,36.0,54.33,34.39363636363636
17.67,25.0,33.67,17.67,47.0,70.0,49.67,10.67,4.33,73.33,42.33,35.57636363636363
26.33,30.33,22.67,14.33,47.0,67.0,17.33,8.67,9.33,30.0,54.33,29.756363636363634
