48.33,31.0,22.33,15.0,70.0,70.0,45.33,14.67,16.0,56.33,85.67,43.15090909090909
36.0,30.0,32.33,15.0,66.67,69.0,66.0,28.0,9.0,37.0,70.67,41.78818181818182
20.67,38.0,17.33,3.33,89.0,45.33,62.67,41.67,10.67,78.33,66.33,43.03
15.0,38.67,16.33,9.67,57.67,64.67,44.67,31.33,23.0,34.33,61.0,36.03090909090909
18.33,30.33,18.67,12.0,53.0,74.0,28.33,25.0,7.0,90.0,75.0,39.24181818181818
25.67,40.0,6.33,19.33,83.67,56.67,47.0,15.0,8.0,38.33,55.33,35.93909090909091
35.0,26.33,19.67,12.67,63.67,33.67,36.67,13.0,6.0,57.67,60.67,33.18363636363637
41.0,23.67,11.67,13.67,77.33,56.67,33.33,17.33,7.33,39.67,63.0,34.97
21.33,32.33,10.33,22.67,64.33,60.67,36.67,16.67,3.33,36.0,62.33,33.332727272727276
18.0,27.33,21.0,10.33,63.33,30.67,40.33,26.0,13.67,30.33,55.67,30.60545454545455
