91.43,60.0,71.43,34.29,82.86,37.14,60.0,62.45
77.14,62.86,68.57,65.71,71.43,37.14,77.14,65.71285714285713
42.86,68.57,82.86,42.86,71.43,51.43,71.43,61.63428571428572
51.43,60.0,54.29,77.14,74.29,40.0,82.86,62.85857142857144
62.86,62.86,74.29,45.71,77.14,22.86,71.43,59.59285714285715
45.71,74.29,60.0,51.43,65.71,34.29,80.0,58.77571428571429
40.0,62.86,68.57,62.86,57.14,45.71,74.29,58.77571428571429
22.86,51.43,68.57,88.57,71.43,31.43,54.29,55.511428571428574
48.57,57.14,71.43,82.86,45.71,42.86,51.43,57.142857142857146
34.29,60.0,60.0,74.29,65.71,45.71,57.14,56.734285714285704
