20.0,30.67,47.0,18.0,93.0,60.67,52.33,14.67,17.33,62.0,83.33,45.36363636363637
26.33,38.0,25.0,23.33,91.0,60.67,73.33,41.67,5.67,75.0,81.0,49.18181818181818
18.67,27.67,21.33,24.67,88.67,69.33,58.67,9.67,30.33,55.33,82.0,44.21272727272727
27.33,30.67,36.0,37.33,79.67,55.33,52.67,35.33,1.33,24.0,57.33,39.72636363636363
26.0,42.0,67.0,32.67,88.67,63.67,61.33,17.33,4.67,11.67,84.33,45.39454545454546
30.0,29.33,38.67,22.33,45.33,54.0,57.67,30.0,3.0,27.67,94.0,39.27272727272727
34.0,28.67,72.33,32.67,47.33,60.0,55.67,6.67,20.0,31.33,63.0,41.06090909090909
27.67,51.0,19.67,22.67,55.67,45.67,65.33,8.0,19.33,48.33,81.33,40.42454545454545
66.33,36.67,23.0,34.67,57.0,79.0,21.0,22.0,7.33,18.0,61.33,38.75727272727273
19.33,46.0,23.0,43.33,92.33,70.67,23.67,32.33,14.33,29.33,56.67,40.99909090909091
