48.33,31.0,22.33,15.0,70.0,70.0,45.33,14.67,16.0,56.33,85.67,43.15090909090909
43.67,28.67,61.67,10.0,57.0,87.0,23.0,22.33,33.33,26.67,69.67,42.091818181818184
25.33,19.33,20.67,22.33,81.67,78.67,41.33,10.0,37.0,32.67,38.0,37.0
8.67,39.0,36.0,25.0,76.33,88.0,33.67,24.33,12.33,16.67,48.67,37.151818181818186
15.0,25.0,31.67,26.67,82.33,70.33,19.67,26.0,3.67,56.0,56.0,37.48545454545455
19.33,43.0,26.0,39.33,78.33,71.33,2.0,17.33,5.33,90.67,56.0,40.78636363636363
12.67,22.67,16.33,36.67,41.0,78.67,30.67,26.0,17.33,47.33,89.0,38.03090909090909
28.0,20.0,19.67,36.67,50.0,41.33,19.0,6.0,25.33,50.67,92.33,35.36363636363637
3.67,21.33,39.0,29.33,46.67,68.33,31.33,38.67,1.33,70.33,76.67,38.78727272727272
12.33,19.67,16.33,27.67,78.0,38.67,19.0,9.33,3.67,55.67,43.67,29.45545454545455
