91.43,60.0,71.43,34.29,82.86,37.14,60.0,62.45
42.86,57.14,77.14,57.14,71.43,37.14,62.86,57.958571428571425
77.14,60.0,68.57,60.0,88.57,34.29,80.0,66.93857142857142
77.14,51.43,74.29,80.0,74.29,31.43,62.86,64.49142857142859
82.86,48.57,74.29,57.14,68.57,31.43,77.14,62.857142857142854
71.43,51.43,82.86,51.43,68.57,45.71,85.71,65.30571428571429
54.29,68.57,88.57,54.29,60.0,37.14,65.71,61.224285714285706
57.14,68.57,80.0,65.71,91.43,34.29,37.14,62.04
57.14,54.29,77.14,62.86,65.71,54.29,71.43,63.26571428571429
80.0,54.29,74.29,74.29,77.14,31.43,74.29,66.53285714285714
